Nombre,Dirección,lat,lon,coord_source,dist_plaza_grande_km,existe_gmaps,estrellas_num,Cantidad de Reseñas,log1p_resenas,Tiene IG,Seguidores IG,log1p_seguidores_ig,Tiene TikTok,Seguidores TT,log1p_seguidores_tt,Likes TT,Tipo Restaurante,tipo_restaurante_ui,Franquicia,franquicia_bin,marca_id,cuenta_social_duplicada,AÑO REGISTRO,CATEGORÍA,Instagram,URL IG,TikTok,URL Tik Tok
RESTAURANT GETSEMANI,"OE7 VENEZUELA N7-31 N7 OLMEDO, Quito, Ecuador",-0.2256826,-78.506597,primaria_C_D,0.8734587870877336,TRUE,5,18,2.9444389791664403,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,RESTAURANT GETSEMANI__316,FALSE,2021,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANT LA NEGRA MALA,"MEJÍA OE7-72 E IMBABURA, Quito, Ecuador",-0.2167833,-78.5087661,primaria_C_D,0.5858154101077433,TRUE,4.7,242,5.493061443340548,1,204,5.3230099791384085,0,0,0,0,Nuevo Tradicional,Nuevo Tradicional,No posee,0,RESTAURANT LA NEGRA MALA__317,FALSE,2023,SEGUNDA / 3 TENEDORES,lanegramala07,https://www.instagram.com/lanegramala07/,No tiene,0
RESTAURANT SAN FRANCISCO,"Juan de Dios Morales Oe1-135 Guayaquil, Quito, Ecuador",-0.2199758,-78.5138389,primaria_C_D,0.15988161524006467,TRUE,4.3,164,5.10594547390058,0,0,0,0,0,0,0,Tradicional,Tradicional,No posee,0,RESTAURANT SAN FRANCISCO__318,FALSE,2008,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE  VALENTINA,"OE8 IMBABURA S4-38 ABDON CALDERON G, Quito, Ecuador",-0.2197575,-78.5078434,respaldo_R_S,0.5243275263685169,FALSE,,0,0,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,RESTAURANTE  VALENTINA__319,FALSE,2024,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE & EVENTOS CAÍDA Y LIMPIA,"Juan de Dios Morales OE1-53 AV. Maldonado, Quito, Ecuador",-0.22523145,-78.51349843,primaria_C_D,0.5376992361040744,TRUE,5,4,1.6094379124341003,0,0,0,0,0,0,0,Fast Food,Fast Food,No posee,0,RESTAURANTE & EVENTOS CAÍDA Y LIMPIA__320,FALSE,2020,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE 26 DE NOVIEMBRE,"SUCRE E3-274 AV. PICHINCHA, Quito, Ecuador",-0.2250962,-78.512095,respaldo_R_S,0.5130543670799816,FALSE,,0,0,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,RESTAURANTE 26 DE NOVIEMBRE__321,FALSE,2021,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE BARCELONA,"Oriente OE3-19 Guayaquil, Quito, Ecuador",-0.217977871,-78.50744652,respaldo_R_S,0.6280143461367512,FALSE,,0,0,0,0,0,0,0,0,0,Fast Food,Fast Food,No posee,0,RESTAURANTE BARCELONA__322,FALSE,2023,CUARTA / 1 TENEDOR,No tiene,0,No tiene,0
RESTAURANTE CHILIS WILLIS,"AV MALDONADO S5-48 BENIGNO VELA, Quito, Ecuador",-0.22018588,-78.51675905,respaldo_R_S,0.4748675649679724,FALSE,,0,0,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,RESTAURANTE CHILIS WILLIS__323,FALSE,2024,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE CHINO,"BenalcÁzar N3-71 SUCRE, Quito, Ecuador",-0.22052666,-78.51422312,respaldo_R_S,0.19162371469794148,FALSE,,0,0,0,0,0,0,0,0,0,Internacional,Internacional,No posee,0,RESTAURANTE CHINO__324,FALSE,2024,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE CHRISTIAN,"JOSE ANTEPARA  E4-82 LOS RIOS, Quito, Ecuador",-0.221729257,-78.50947888,primaria_C_D,0.3626745375603768,TRUE,0,0,0,0,0,0,0,0,0,0,Comida Ecuatoriana,Comida Ecuatoriana,No posee,0,RESTAURANTE CHRISTIAN__325,FALSE,2016,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE DANNY,"OLMEDO OE1-11 BUSTAMANTE, Quito, Ecuador",-0.2248433,-78.5123733,primaria_C_D,0.48315836700080234,TRUE,4,1,0.6931471805599453,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,RESTAURANTE DANNY__326,FALSE,2024,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE DAVID,"OE3 GUAYAQUIL S1-64 S1C MORALES, Quito, Ecuador",-0.2171839,-78.512511,primaria_C_D,0.3687355248870181,TRUE,4.6,61,4.127134385045092,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,RESTAURANTE DAVID__327,FALSE,2024,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE DE UNA,"VENEZUELA 104 OLMEDO, Quito, Ecuador",-0.218572385,-78.51019873,respaldo_R_S,0.3337971956291767,FALSE,,0,0,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,RESTAURANTE DE UNA__328,FALSE,2018,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE DELICIAS MANABITAS,"Mideros Oe8-48, 170401 Quito",-0.218048002,-78.5161678,primaria_C_D,0.4905808009303947,TRUE,4.7,16,2.833213344056216,0,0,0,0,0,0,0,Comida Ecuatoriana,Comida Ecuatoriana,No posee,0,RESTAURANTE DELICIAS MANABITAS__329,FALSE,2019,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE DON SIMÓN,"Guayaquil S1-76 Morales, Quito, Ecuador",-0.224851729,-78.5123719,primaria_C_D,0.48409978669436704,TRUE,0,0,0,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,RESTAURANTE DON SIMÓN__330,FALSE,2023,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE DOÑA SUSY,"Guayaquil n762 Manabí, Quito, Ecuador",-0.2174126,-78.5127554,primaria_C_D,0.3444758342222998,TRUE,4.3,239,5.480638923341991,0,0,0,0,0,0,0,Tradicional,Tradicional,No posee,0,RESTAURANTE DOÑA SUSY__331,FALSE,2024,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE EL CRIOLLO,"N6 DON BOSCO E397 E3B PEDRO CALIXTO, Quito, Ecuador",-0.2195296,-78.5089324,primaria_C_D,0.4111094377289189,TRUE,4.4,194,5.272999558563747,0,0,0,0,0,0,0,Tradicional,Tradicional,No posee,0,RESTAURANTE EL CRIOLLO__332,FALSE,2023,PRIMERA / 4 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE EL DESCANZO DE LA OLMEDO,"Imbabura N3-09 Alianza, Quito, Ecuador",-0.2191215,-78.51661094,respaldo_R_S,0.48212767678880836,FALSE,,0,0,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,RESTAURANTE EL DESCANZO DE LA OLMEDO__333,FALSE,2016,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE EL PATACÓN COLOMBIANO,"JOSE JOAQUIN DE OLMEDO OE3-34 GUAYAQUIL, Quito, Ecuador",-0.2200899,-78.5087312,primaria_C_D,0.42154208572091256,TRUE,4.4,7,2.0794415416798357,0,0,0,0,0,0,0,Internacional,Internacional,No posee,0,RESTAURANTE EL PATACÓN COLOMBIANO__334,FALSE,2021,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
RESTAURANTE INESITA,"GARCIA MORENO N6-72 OLMEDO, Quito, Ecuador",-0.226976018,-78.50756545,primaria_C_D,0.9053221711426201,TRUE,0,0,0,0,0,0,0,0,0,0,Tradicional,Tradicional,No posee,0,RESTAURANTE INESITA__335,FALSE,2025,CUARTA / 1 TENEDOR,No tiene,0,No tiene,0
